fecha,zona_prov,letra,w_mean,Año,Valor_USD_Blue_Julio,Salario_USD
2013-01-01,NEUQUEN,H,12431,2013,8.0,1553.875
2013-01-01,NEUQUEN,I,5505,2013,8.0,688.125
2013-01-01,NEUQUEN,J,10963,2013,8.0,1370.375
2013-01-01,NEUQUEN,K,15651,2013,8.0,1956.375
2013-01-01,NEUQUEN,L,8601,2013,8.0,1075.125
2013-01-01,NEUQUEN,M,10740,2013,8.0,1342.5
2013-01-01,NEUQUEN,N,6943,2013,8.0,867.875
2013-01-01,NEUQUEN,O,8448,2013,8.0,1056.0
2013-01-01,NEUQUEN,P,7764,2013,8.0,970.5
2013-01-01,NEUQUEN,Q,8563,2013,8.0,1070.375
2013-01-01,NEUQUEN,R,7677,2013,8.0,959.625
2013-01-01,NEUQUEN,S,9720,2013,8.0,1215.0
2013-01-01,NEUQUEN,Z,4374,2013,8.0,546.75
2013-01-01,RIO NEGRO,A,3299,2013,8.0,412.375
2013-01-01,RIO NEGRO,B,19946,2013,8.0,2493.25
2013-01-01,RIO NEGRO,C,6827,2013,8.0,853.375
2013-01-01,RIO NEGRO,D,19079,2013,8.0,2384.875
2013-01-01,RIO NEGRO,E,9198,2013,8.0,1149.75
2013-01-01,RIO NEGRO,F,6866,2013,8.0,858.25
2013-01-01,RIO NEGRO,G,6557,2013,8.0,819.625
2013-01-01,RIO NEGRO,H,10181,2013,8.0,1272.625
2013-01-01,RIO NEGRO,I,5350,2013,8.0,668.75
2013-01-01,RIO NEGRO,J,9889,2013,8.0,1236.125
2013-01-01,RIO NEGRO,K,11652,2013,8.0,1456.5
2013-01-01,RIO NEGRO,L,6335,2013,8.0,791.875
2013-01-01,RIO NEGRO,M,7377,2013,8.0,922.125
2013-01-01,RIO NEGRO,N,4940,2013,8.0,617.5
2013-01-01,RIO NEGRO,O,7146,2013,8.0,893.25
2013-01-01,RIO NEGRO,P,5155,2013,8.0,644.375
2013-01-01,RIO NEGRO,Q,7831,2013,8.0,978.875
2013-01-01,RIO NEGRO,R,7015,2013,8.0,876.875
2013-01-01,RIO NEGRO,S,6613,2013,8.0,826.625
2013-01-01,RIO NEGRO,Z,5276,2013,8.0,659.5
2013-01-01,SALTA,A,3428,2013,8.0,428.5
2013-01-01,SALTA,B,15067,2013,8.0,1883.375
2013-01-01,SALTA,C,7485,2013,8.0,935.625
2013-01-01,SALTA,D,16853,2013,8.0,2106.625
2013-01-01,SALTA,E,10383,2013,8.0,1297.875
2013-01-01,SALTA,F,4415,2013,8.0,551.875
2013-01-01,SALTA,G,5886,2013,8.0,735.75
2013-01-01,SALTA,H,8572,2013,8.0,1071.5
2013-01-01,SALTA,I,4050,2013,8.0,506.25
2013-01-01,SALTA,J,8842,2013,8.0,1105.25
2013-01-01,SALTA,K,10361,2013,8.0,1295.125
2013-01-01,SALTA,L,4571,2013,8.0,571.375
2013-01-01,SALTA,M,4311,2013,8.0,538.875
2013-01-01,SALTA,N,4907,2013,8.0,613.375
2013-01-01,SALTA,O,6239,2013,8.0,779.875
2013-01-01,SALTA,P,4832,2013,8.0,604.0
2013-01-01,SALTA,Q,5695,2013,8.0,711.875
2013-01-01,SALTA,R,4488,2013,8.0,561.0
2013-01-01,SALTA,S,4665,2013,8.0,583.125
2013-01-01,SALTA,Z,5402,2013,8.0,675.25
2013-01-01,SAN JUAN,A,3647,2013,8.0,455.875
2013-01-01,SAN JUAN,B,21288,2013,8.0,2661.0
2013-01-01,SAN JUAN,C,7458,2013,8.0,932.25
2013-01-01,SAN JUAN,D,10557,2013,8.0,1319.625
2013-01-01,SAN JUAN,E,10424,2013,8.0,1303.0
2013-01-01,SAN JUAN,F,9865,2013,8.0,1233.125
2013-01-01,SAN JUAN,G,5960,2013,8.0,745.0
2013-01-01,SAN JUAN,H,8370,2013,8.0,1046.25
2013-01-01,SAN JUAN,I,6321,2013,8.0,790.125
2013-01-01,SAN JUAN,J,7428,2013,8.0,928.5
2013-01-01,SAN JUAN,K,10505,2013,8.0,1313.125
2013-01-01,SAN JUAN,L,4679,2013,8.0,584.875
2013-01-01,SAN JUAN,M,6092,2013,8.0,761.5
2013-01-01,SAN JUAN,N,4520,2013,8.0,565.0
2013-01-01,SAN JUAN,O,6102,2013,8.0,762.75
2013-01-01,SAN JUAN,P,6376,2013,8.0,797.0
2013-01-01,SAN JUAN,Q,5519,2013,8.0,689.875
2013-01-01,SAN JUAN,R,6324,2013,8.0,790.5
2013-01-01,SAN JUAN,S,4734,2013,8.0,591.75
2013-01-01,SAN JUAN,Z,2973,2013,8.0,371.625
2013-01-01,SAN LUIS,A,5472,2013,8.0,684.0
2013-01-01,SAN LUIS,B,6874,2013,8.0,859.25
2013-01-01,SAN LUIS,C,9903,2013,8.0,1237.875
2013-01-01,SAN LUIS,D,16244,2013,8.0,2030.5
2013-01-01,SAN LUIS,E,5939,2013,8.0,742.375
2013-01-01,SAN LUIS,F,5442,2013,8.0,680.25
2013-01-01,SAN LUIS,G,5749,2013,8.0,718.625
2013-01-01,SAN LUIS,H,8850,2013,8.0,1106.25
2013-01-01,SAN LUIS,I,3681,2013,8.0,460.125
2013-01-01,SAN LUIS,J,7846,2013,8.0,980.75
2013-01-01,SAN LUIS,K,11462,2013,8.0,1432.75
