fecha,zona_prov,letra,w_mean
2013-01-01,TUCUMAN,B,15737
2013-01-01,TUCUMAN,C,8702
2013-01-01,TUCUMAN,D,13807
2013-01-01,TUCUMAN,E,7875
2013-01-01,TUCUMAN,F,3368
2013-01-01,TUCUMAN,G,5702
2013-01-01,TUCUMAN,H,7666
2013-01-01,TUCUMAN,I,3506
2013-01-01,TUCUMAN,J,8800
2013-01-01,TUCUMAN,K,10810
2013-01-01,TUCUMAN,L,5722
2013-01-01,TUCUMAN,M,4389
2013-01-01,TUCUMAN,N,4434
2013-01-01,TUCUMAN,O,5503
2013-01-01,TUCUMAN,P,6596
2013-01-01,TUCUMAN,Q,5987
2013-01-01,TUCUMAN,R,4951
2013-01-01,TUCUMAN,S,5568
2013-02-01,BUENOS AIRES,A,5269
2013-02-01,BUENOS AIRES,B,16063
2013-02-01,BUENOS AIRES,C,9198
2013-02-01,BUENOS AIRES,D,19165
2013-02-01,BUENOS AIRES,E,11396
2013-02-01,BUENOS AIRES,F,5433
2013-02-01,BUENOS AIRES,G,6870
2013-02-01,BUENOS AIRES,H,9224
2013-02-01,BUENOS AIRES,I,4339
2013-02-01,BUENOS AIRES,J,10402
2013-02-01,BUENOS AIRES,K,15931
2013-02-01,BUENOS AIRES,L,5608
2013-02-01,BUENOS AIRES,M,5975
2013-02-01,BUENOS AIRES,N,5535
2013-02-01,BUENOS AIRES,O,7115
2013-02-01,BUENOS AIRES,P,4266
2013-02-01,BUENOS AIRES,Q,7105
2013-02-01,BUENOS AIRES,R,5614
2013-02-01,BUENOS AIRES,S,5831
2013-02-01,BUENOS AIRES,Z,9548
2013-02-01,CAPITAL FEDERAL,A,9319
2013-02-01,CAPITAL FEDERAL,B,37540
2013-02-01,CAPITAL FEDERAL,C,9360
2013-02-01,CAPITAL FEDERAL,D,24863
2013-02-01,CAPITAL FEDERAL,E,13931
2013-02-01,CAPITAL FEDERAL,F,5791
2013-02-01,CAPITAL FEDERAL,G,8107
2013-02-01,CAPITAL FEDERAL,H,10698
2013-02-01,CAPITAL FEDERAL,I,5052
2013-02-01,CAPITAL FEDERAL,J,12450
